372, 519
918, 673
577, 721
451, 3
939, 924
729, 220
118, 622
884, 367
406, 704
149, 900
119, 569
879, 784
254, 306
380, 351
391, 7
166, 252
499, 459
978, 535
476, 140
478, 424
436, 217
795, 648
514, 435
153, 988
111, 708
514, 140
911, 622
314, 790
776, 545
385, 888
486, 802
938, 723
146, 70
525, 195
572, 480
735, 373
758, 779
664, 378
49, 953
214, 171
395, 821
183, 105
36, 30
660, 850
726, 364
924, 523
970, 674
608, 152
482, 962
92, 292
408, 369
752, 748
282, 566
991, 878
162, 564
576, 823
298, 906
935, 499
810, 523
225, 181
444, 90
480, 348
688, 635
26, 983
387, 949
436, 393
984, 213
514, 859
481, 78
503, 32
674, 928
964, 514
205, 511
587, 935
201, 542
132, 382
177, 1
578, 347
54, 862
950, 485
4, 455
594, 852
835, 104
905, 724
612, 197
974, 251
586, 868
755, 828
724, 331
612, 442
457, 788
549, 534
331, 769
939, 828
943, 557
291, 151
468, 606
629, 722
823, 487
